,month,obs,sim,scaling_factor
1,1,-665999999.9,0.366689032,-1816252850
2,2,-665999999.8,0.141121813,-4719327122
3,3,-665999999.4,1.211171613,-549880786.8
4,4,-665999998.6,1.751181333,-380314697.3
5,5,-665999997.1,4.901089032,-135888165.4
6,6,-665999996.5,14.05366933,-47389758.55
7,7,-665999996.3,15.72694452,-42347704.33
8,8,-665999996.9,18.94211871,-35159741.48
9,9,-665999996.7,20.76228,-32077401.75
10,10,-665999998.1,6.159432258,-108126848.4
11,11,-665999999.8,1.85192,-359626765.6
12,12,-666000000,0.394149677,-1689713421
